x,fpe0
1.05835,0.00627
1.10397,0.00616
1.13473,0.01523
1.1729,0.03708
1.19377,0.05421
1.21058,0.08029
1.23075,0.12087
1.24921,0.18032
1.27018,0.26588
1.28774,0.38337
1.30776,0.556

x,fpe1
1.05993,0.00228
1.09866,0.008
1.13739,0.01081
1.17023,0.01364
1.20559,0.02371
1.22326,0.03383
1.23925,0.0425
1.25693,0.05552
1.27375,0.07579
1.29056,0.09897
1.30737,0.13231
1.32501,0.17725
1.34263,0.2396
1.35938,0.31937

x,fpe2
1.18624,0.00634
1.2275,0.00625
1.24771,0.00911
1.26791,0.01632
1.28812,0.02062
1.31,0.03218
1.3302,0.04374
1.34955,0.06256
1.37226,0.08718
1.39244,0.12195
1.4126,0.17124
1.43358,0.23939
1.45369,0.32786
1.47462,0.44969

x,fl0
0.67599,0.73156
0.67681,0.75042
0.70625,0.77793
0.70793,0.78808
0.76763,0.8721
0.78618,0.84594
0.80552,0.87927
0.80044,0.8996
0.82568,0.9213
0.86524,0.93862
0.89976,0.9516
0.89805,0.97337
0.91491,0.95882
0.9309,0.96895
0.94519,0.98923
0.96371,0.99789
0.99487,0.99782
1.00244,1.00361
1.01171,1.00213
1.00919,0.98908
1.04203,0.99771
1.05888,0.98461
1.06224,0.99476
1.0909,0.97293
1.12122,0.96706
1.12546,0.94238
1.15579,0.9278
1.17855,0.90018
1.18864,0.91902
1.18953,0.87404
1.23756,0.84346
1.23679,0.77381
1.31861,0.65029
