x,fpe
0.937744,0.02766
0.94328,0.03156
0.945163,0.05226
0.948464,0.04794
0.951687,0.06858
0.952764,0.08308
0.955714,0.09334
0.958671,0.12023
0.961544,0.1596
0.964688,0.20519
0.968009,0.24869
0.969448,0.27357
0.970804,0.31301
0.972519,0.35659
0.97811,0.49147
0.982982,0.61182
0.985419,0.67408
0.988491,0.76126
0.993362,0.88162
0.995796,0.93764
0.997865,0.97496
0.999203,0.97282
0.999639,0.94785
0.998542,0.88761
0.99602,0.83367
0.992415,0.75276
0.988804,0.65729
0.987626,0.61784
0.985548,0.55973
0.983207,0.51202
0.981134,0.4643
0.978612,0.41036
0.975636,0.33981
0.973467,0.27754
0.971215,0.22983
0.968875,0.1842
0.966983,0.14479
0.964737,0.10955
0.962225,0.08056
0.96043,0.05777
0.959264,0.04535
0.955239,0.02475
0.952202,0.02074
0.946131,0.01895
0.944428,0.00239
0.937195,-0.0035
0.937565,0.02767
