Velocity,lengthA,lengthB,t0,f0,t1,f1,t2,f2,t3,f3,t4,f4,t5,f5
3,0,9,0.95,0.5877,2.29,21.9865,2.52,26.0746,5.16,34.5777,9.9,27.9141,14.99,9.895
9,0,9,0.97,0.4643,2.37,21.4345,2.5,26.814,3.37,36.5909,8.32,27.571,13.49,9.773
27,0,9,0.98,0.5059,2.38,21.0701,2.44,28.3773,2.71,37.396,7.47,26.8696,12.79,8.894
3,3,9,0.95,1.0499,3.24,22.1033,3.48,25.9447,5.19,32.9454,9.92,27.0183,14.99,8.455
9,3,9,0.97,1.0377,2.7,21.9228,2.82,27.184,3.36,34.8946,8.3,27.0778,13.49,8.723
27,3,9,0.98,1.0934,2.46,21.296,2.52,28.9049,2.68,35.8708,7.5,26.2587,12.79,8.04
3,6,9,0.96,3.0424,4.23,22.5787,4.51,26.9732,5.2,30.5669,9.98,25.7527,14.99,6.672
9,6,9,0.98,2.774,3.02,22.1691,3.13,27.6052,3.35,31.4972,8.26,25.4432,13.49,6.599
27,6,9,0.98,2.8157,2.58,21.5997,2.64,29.2735,2.7,32.9033,7.48,24.9761,12.79,6.477
3,0,0,0.95,0.4784,4.21,21.7422,,,,,,,,
9,0,0,0.95,0.6422,4.38,22.0513,,,,,,,,
27,0,0,0.95,0.4866,3.92,21.4476,,,,,,,,
3,9,9,0.95,7.4673,6.06,24.0535,,,,,,,,
9,9,9,0.95,7.0265,6.24,23.6691,,,,,,,,
27,9,9,0.95,6.7132,5.9,23.2778,,,,,,,,
3,0,9,2,0.422,5.28,7.6554,14.99,6.453,,,,,,
9,0,9,2,0.3177,3.44,7.2932,13.49,5.867,,,,,,
27,0,9,2,0.3769,2.76,7.4896,12.79,6.038,,,,,,
