x,fv
-3.83615,0.08485
-3.44852,0.02402
-2.85081,0.06709
-2.77942,0.11212
-2.63604,0.05833
-2.29113,0.14311
-1.89971,0.18107
-1.51266,0.25715
-1.44513,0.21726
-1.39475,0.25364
-1.13753,0.1634
-0.99903,0.26906
-1.04138,0.32801
-1.03718,0.32974
-0.75542,0.41281
-0.75556,0.44573
-0.587,0.41273
-0.59583,0.50979
-0.46521,0.4872
-0.38129,0.55649
-0.36046,0.60848
-0.38587,0.64315
-0.2764,0.64483
-0.30181,0.67951
-0.20108,0.75745
-0.12552,0.81115
-0.15091,0.84062
-0.08789,0.87352
-0.02946,0.99655
-0.01268,1.0104
-0.0128,1.03987
