x,fv
-4.652,-0.00631
-4.3179,0.09062
-3.9002,0.03569
-3.6497,0.02945
-3.6288,0.09016
-3.4617,0.08701
-3.1137,0.07159
-2.7657,0.06529
-2.6752,0.04701
-2.6195,0.14109
-2.4455,0.14401
-2.3689,0.15914
-2.181,0.18937
-1.993,0.24693
-2,0.11335
-1.7981,0.11321
-1.5824,0.13432
-1.5476,0.18894
-1.5963,0.2588
-1.4988,0.34375
-1.4084,0.27993
-1.1508,0.20993
-1.2135,0.33141
-1.1021,0.3617
-1.0882,0.41026
-0.8933,0.30083
-0.8654,0.34939
-0.8515,0.44957
-0.6984,0.43429
-0.5661,0.40688
-0.4687,0.47968
-0.6845,0.51929
-0.5244,0.54954
-0.6079,0.59514
-0.4617,0.66791
-0.3573,0.62533
-0.3295,0.58584
-0.2738,0.69814
-0.3643,0.71034
-0.3225,0.78318
-0.1903,0.78613
-0.239,0.89546
-0.1346,0.87717
-0.1137,0.9986
0.0046,0.98638
-0.0023,1.04103
-0.058,1.0441
-0.0719,1.10787
0.0325,1.11994
0.0255,1.16549
0.0186,1.23229
0.1021,1.19276
0.1926,1.17145
0.1995,1.24735
0.0673,1.28994
0.1369,1.32329
0.2135,1.36271
0.1995,1.35664
0.2831,1.31408
0.3527,1.28064
0.3735,1.25026
0.3944,1.39294
0.478,1.28359
0.5476,1.34123
0.5754,1.41711
0.5406,1.45357
0.7077,1.48685
0.819,1.40177
0.7842,1.35625
0.7216,1.28343
1.0487,1.25285
1.1531,1.24367
1.1392,1.39851
1.0696,1.47446
1.4524,1.37401
1.4316,1.25866
1.703,1.43153
2.1555,1.51623
2.239,1.47975
2.2111,1.37958
2.2251,1.29456
2.1346,1.26426
2.7541,1.27295
2.9002,1.28499
2.8237,1.56132
3.645,1.37557
