x,sartorius
0.002,0.0819
15.988,0.2131
31.895,1.3277
37.447,2.2178
41.259,3.1523
44.868,4.1693
48.283,5.6783
51.501,7.5565
54.945,10.3356
57.352,12.5842
59.666,15.2837
62.196,18.4334
64.219,21.83
65.928,24.9405
66.803,27.3971
67.675,29.7308
68.123,31.4507

x,sternocleidomastoid
0.308,0.0403
11.684,0.1809
20.608,0.6134
28.821,1.334
35.708,2.3443
41.473,3.5616
47.352,5.2705
53.677,8.6173
56.902,10.8232
59.723,13.2349
62.032,15.6885
63.626,18.2256
64.801,20.3948
65.779,22.8921
66.859,25.3483

x,bicepsBrachii
0.103,0.0408
15.167,0.1328
26.454,0.8882
34.564,1.5681
40.32,2.3758
45.469,3.5535
50.22,5.2236
54.879,7.3857
58.929,9.8357
61.847,12.0013
64.459,14.2495
65.82,15.5579

x,rectusAbdominis
-0.204,0.0414
15.369,0.0095
24.392,0.3188
30.238,0.5526
38.349,1.3145
44.926,2.2025
50.281,3.3797
55.032,5.0908
58.137,6.4776
61.558,8.2734
63.743,9.7439
65.931,11.3784

x,rectusFemoris
0.104,0.0817
13.63,0.136
24.391,0.2778
31.98,0.5491
39.569,0.9023
45.632,1.6684
50.567,2.4367
54.79,3.4114
58.606,4.5509
62.12,5.8958
65.227,7.3645

x,pectoralisMajor
0.004,0.1639
15.677,0.0498
24.29,0.319
30.648,0.5518
36.185,0.7453
41.211,1.0218
47.263,1.2963
53.318,1.7346
58.451,2.2157
64.514,3.0228
70.172,4.0355
74.91,5.1321
79.037,6.3938
85.131,8.5938
89.374,10.4699
91.24,11.4494

x,gastrocnemius
-0.101,0.0822
11.784,0.0578
19.163,0.1246
24.391,0.2778
29.929,0.4713
35.979,0.7048
41.519,1.0212
48.391,1.3349
52.803,1.6537
58.652,2.0104
64.4,2.4903
71.072,3.0503
76.925,3.6119
82.374,4.4202
87.309,5.1886
92.048,6.3262
95.861,7.3427
99.06,8.3604
