x,a01
0.12133,0.67162
0.1371,0.6518
0.12129,0.63197
0.1046,0.65551
0.12131,0.6518

x,a02
0.32533,0.38414
0.35131,0.36059
0.32436,0.33209
0.29653,0.35936
0.32531,0.35936

x,b01
0.15469,0.60347
0.17325,0.58488
0.15466,0.56753
0.13611,0.58736
0.1556,0.58488

x,b02
0.37728,0.32714
0.4014,0.30607
0.37631,0.28253
0.35126,0.30483
0.3754,0.30607

x,fv
-0.00093,0.99876
0.04627,0.83643
0.08332,0.7311
0.13799,0.6109
0.19453,0.50682
0.22884,0.45725
0.26407,0.40644
0.29932,0.36679
0.34848,0.31599
0.40415,0.26518
0.47652,0.21314
0.54519,0.16853
0.61757,0.12763
0.68533,0.09913
0.75587,0.07187
0.82734,0.04585
0.90067,0.0223
0.96751,0.0062
0.99814,0.00124
