x,c01
-0.00108,0.0286
0.09811,0.1106
0.10674,1.3657
0.11213,2.9061
0.11536,4.7034
0.12075,6.5007
0.1283,8.469
0.13369,10.1236
0.14447,11.6354
0.1531,12.7763
0.16927,13.6316
0.19515,14.0872
0.21995,14.2004
0.25337,14.1992
0.2965,14.1406
0.35795,14.0529
0.43881,13.9073
0.53693,13.7612
0.62534,13.5868
0.7062,13.4128
0.75364,13.354
0.76873,13.0682
0.77736,12.4972
0.78383,11.9835
0.78922,11.3841
0.79461,9.7862
0.80216,6.8188
0.8097,4.2222
0.81402,2.9667
0.81941,1.9679
0.82695,1.0547
0.8442,0.3693
0.87116,0.1401
0.92615,0.1096
1.02318,0.1062
1.131,0.1023
1.20108,0.0998
