"Strain","RelForce"
2.9898368098,97.0800
2.9902419513,98.5934
2.9899797383,100.0000
-0.9188782329,98.6591
-0.9196582689,99.2256
-0.9191202102,93.7318
11.0777534175,90.1502
11.0780120094,89.4350
11.077558302,87.8752
0.5697773709,94.0313
0.5700504474,93.3690
0.5706502785,92.9490
22.2512724624,72.0753
22.2523176936,74.9621
22.2516652495,75.7917
-1.1565240059,99.8992
-1.1565821571,99.6360
-1.1565834351,98.9840
24.9386893334,69.8770
24.9383627919,70.5170
24.9387751757,69.7534
-6.8061815427,96.1943
-6.8065136225,94.1260
-6.806579868,93.4486
30.894355915,56.3417
30.8939209523,57.7699
30.8936159246,58.2543
-11.3465050373,88.0799
-11.3465540292,87.9736
-11.3463048096,87.8759
38.8680971553,40.2447
38.8688209571,41.4685
38.8691981946,41.5509
-16.955230496,75.3766
-16.955517631,77.7870
-16.9552867302,77.5789
45.0017224872,24.6400
45.002992016,23.0059
45.0029249184,21.6710
-20.874627473,45.7943
-20.8750047105,51.6331
-20.8757743091,54.7133
52.6665128268,15.1663
52.6685393866,16.3092
52.670891849,14.8952
1.9304938068,98.2825
1.9282378372,100.0000
1.9277411021,96.2765
5.7959087594,96.1261
2.9545199894,98.2778
2.9556985637,97.6635
10.3756336554,89.3950
10.3730877816,89.1033
10.3743025673,88.2296
-5.1448064016,90.6089
-5.1452637301,90.4813
-5.1447729593,89.8939
16.5309444983,78.3383
16.5313903244,79.5258
16.5313215228,80.2345
-6.0479924037,90.8694
-6.0480203078,90.7849
-6.0479187029,90.7021
23.6888013527,66.3433
23.6875135052,68.6711
23.6880877753,69.6777
-13.7894812383,84.0282
-13.7888304983,84.3128
-13.7897666692,84.8420
27.1195000489,62.4691
27.1195456327,64.6040
27.1201211808,67.9624
-14.0271800502,83.7898
-13.6744291291,83.4987
32.0069271917,55.5925
32.0075717545,57.4410
33.8187743583,54.0200
-21.1002624174,67.7169
-21.099704762,68.8599
-21.0994240172,70.1322
40.0304499351,38.9301
40.0312171906,42.0171
40.0310144068,43.5975
-26.1885895047,54.7633
-26.1893128805,55.8598
-21.5157429699,69.5935
47.3075010557,29.8794
47.309746588,31.0217
47.3108446451,31.3131
7.6194912137,89.534275077
7.6204557063,87.7247697564
0.2748803792,89.9219734177
-1.8633996234,100
9.6352806614,82.4178151595
11.8507200687,81.3306363389
-6.3646863948,82.5453805545
-4.5070737268,84.5632858325
16.6558219961,72.550011954
15.4376678945,76.6426670742
-8.3862627979,86.6347616266
-8.3833693202,78.0270231126
23.3339684725,58.1081594021
-13.5173632101,82.6468954036
-15.4096976103,81.5290276564
31.458853787,42.8020109891
30.7142655317,47.2681226214
-14.4673883804,77.8761589708
-15.4444193424,79.4109146343
34.1468945481,37.7451090986
36.3218252679,32.5937998617
-21.0201508242,63.7382410375
-22.2363759407,65.5908812123
41.6130314449,26.7563263908
43.3539405134,24.4897614441
-22.7523794596,55.7501280271
-24.0505864436,57.6804083084
48.3297576237,23.0375327966
50.4998658808,19.8398695206
-28.8653332967,39.0028469285
-28.8662977892,41.7120027658
61.8770201031,16.9001624696
68.4828296377,16.303949316
-35.7132304634,37.1436591655
-37.6875467311,39.4001770879
-56.3794125186,19.6192031363
-59.0423764731,18.1429761313
-63.4202081971,12.0627384668
-67.7420993526,6.1464076581
-76.8420866439,1.0319230175
-70.6172516701,5.9833472782
2.314363264,100
2.3149809877,95.9580787241
-2.2660864988,95.1979450139
-3.5736636345,94.0117321657
6.7804276334,89.9709026476
8.2887313249,90.1134311373
-4.0432103497,89.156813361
-4.7169988947,90.5138198618
11.0029552755,88.0359368437
12.1501570603,77.0877660811
-9.1399636147,82.3158820208
-10.524986691,81.3821494104
16.4103373067,78.6816941795
17.3982000252,65.0155678643
-13.0909693017,81.0342706976
-15.6607068207,75.7730866141
21.8185245087,64.5268746785
23.1988290278,62.3884434882
-21.6185232938,60.2877511613
-22.96107829,55.551619541
29.0794679506,48.3280083297
30.4998310014,47.3108278291
-19.9389154405,65.0117959819
-24.088369987,53.9731852895
37.8542403033,31.9660682014
36.8596056287,48.6707333728
-27.3008569248,31.9823982849
-25.4842907749,44.3117100848
40.6882930715,40.6649977729
43.6582180076,35.5697288836
-26.9063668375,30.5338738761
-28.059446157,27.5335734139
53.992797087,17.7128586762
52.2155579987,18.2565634247
-29.2436163636,9.2411234767
-30.9348928051,7.5634313795
67.3596202672,5.6860137171
61.0294548422,9.5360437506
-27.57389209,5.1373903695
-32.0411550564,1.5431076467
70.0113601848,4.1572322795
71.4714752484,3.7756749904
-36.4398862615,0.7498673998
-28.4553118511,6.8715577117
-7.2332190582,97.2228
-7.2327270093,98.2874
-10.7062216053,94.4382
-13.2345243467,90.7023
-1.8532422337,99.0807
-0.2472265771,100.0000
-13.3151735044,89.0132
-15.0503309094,85.7791
4.9264132691,98.9622
6.5262086608,99.0818
-14.7336776328,86.3178
-16.1953022854,83.3356
9.4619114894,95.2122
11.5127455284,94.1307
-22.5580698907,71.0539
-24.7662790604,66.3158
17.5551381781,84.4084
18.5050149346,83.2835
-26.0521336217,62.3383
-28.0777393977,55.8428
21.3472116446,77.6801
23.245958907,74.8427
-28.4780946652,54.3445
-29.7532707004,54.1390
24.9374394103,71.7043
-38.1656334891,28.2689
37.7215020268,47.3691
54.4101443451,22.4796
46.8138780986,32.8042
-39.6559394803,24.3545
29.6467782938,62.5342
-0.8680433028,95.498655622
-0.8675210068,97.83527973
-4.1907864705,96.4339160498
-3.2006462685,96.7413882069
3.7073724377,100
6.6314094472,98.8490275554
-6.5976830688,94.619992224
-9.1256471272,90.6464087456
9.3230223663,94.7787433274
12.5604412727,91.2699230345
-13.8276828122,84.7690384252
-15.0449265862,81.6728062167
13.784408011,87.1817116946
15.6805829865,86.5528708317
-21.0601662309,69.1345346459
-18.9167662915,73.7376505625
16.9445209231,80.9963879105
19.5855017974,77.0738536547
-22.6252052907,64.2330417601
-24.410438363,58.4219845276
25.985248901,64.0171369467
24.4033730356,67.6965061801
-29.1074212809,43.3636292911
-28.282452096,46.6268880967
32.3786466568,47.9653046081
35.2199227454,41.2159554748
-34.4531248759,22.0889553811
-32.7420348394,29.1309604355
32.5434849552,47.7665544049
37.9097683357,34.9558522338
-37.0101747756,14.8182359117
-38.3249200626,13.7965152484
39.6016254375,33.073879882
44.0654191396,24.2119447823
-38.6714415594,8.687306202
-41.4350167366,4.2762510416
46.7456261096,22.1326985484
53.8929663241,12.7147306687
-46.6142339889,1.2394890438
-48.233330478,1.0505962982
59.1588120868,6.9497992017
62.7489141777,5.1619571264
10.5129688898,92.1180120519
10.5128308605,93.345559315
8.6140795509,95.8692278661
7.3541152821,97.2827939137
16.0792469301,86.6137875292
14.6943842488,88.8758711622
2.7289497767,99.4554047949
1.9014483506,99.5619739458
19.3303771731,82.046273632
21.6009900718,79.5800094102
-2.0900712797,91.7000882653
-0.4440865548,92.0377968984
29.0258160444,62.2686843048
32.4564446609,56.567483701
-5.5265456927,100
-6.700941167,98.9897192579
31.5502518353,64.1070615728
35.0256292106,57.2034964652
-10.1843321231,88.1745276664
-11.0505693,87.5042945287
38.1385836024,44.3959535591
39.9544772854,40.242520405
-13.1868324003,91.1623951405
-15.1526661635,90.8716553326
41.0251637621,43.9666768504
44.5598021437,36.9225457082
-22.5026975082,75.9014189952
-24.2416108864,72.4191942343
43.9034468272,36.4174909264
48.6788425299,27.6658723286
-22.5478115761,71.7031016726
-24.0504579833,69.8789226816
54.8851520046,18.3937551133
56.3906173622,16.4749217676
-26.6066486079,58.7589615233
-27.6914223808,58.6674045331
66.6286996882,13.0429987382
73.1926239128,12.6110778365
-28.1861666858,62.1589802983
-30.4462322713,58.2363275802
-32.610494232,36.8907780131
-35.4980499693,31.9324320421
-41.0726781433,26.7341801993
-39.730901479,31.7259929073
-43.0465840645,12.6687608012
-47.8328670414,4.4904883225
-44.1543124511,2.9829859596
-56.3258713194,0.3483439578
-0.1928985117,100
-0.1931353768,93.8733698377
-2.8426393476,76.1842988777
-10.7723079171,73.8809699503
5.6111107177,81.5672537325
15.0537940807,73.6950118566
-8.6090049192,90.1347504238
-15.7149133382,81.8895412937
9.7196992185,88.9940747441
17.1081348734,81.4266786853
-13.3468033998,75.4959469745
-20.328476288,65.5121292848
15.2886515765,73.6218672445
26.0293071103,58.4326903572
-16.579322692,83.7963674386
-24.5997817387,66.8554178304
20.6617507928,76.0814527731
27.292547232,64.1952888563
-22.7832006783,59.2866118827
-34.4420731365,32.5136498481
24.2170415956,61.6980874252
40.9400436247,35.6121635898
-26.5149265839,61.3683747983
-38.2744062144,29.4257180835
27.0191889334,65.0206230661
37.6755984532,45.4851749169
-33.5848021129,31.5705430173
-47.351155793,2.1344181739
38.3951417947,40.2114249672
48.7660570878,20.887485054
-36.3347615942,31.3540176079
-44.3342039756,9.6458103207
41.5009465668,37.1495451256
53.1528579177,18.7707896559
-39.6975100414,11.7746805882
-50.6118590497,0.7277325745
45.1375888153,28.5057100251
57.3758646153,11.5461123758
-2.8426393476,85.7407607886
-10.7723079171,83.1809099964
-3.0861921083,93.3587
-3.0860711197,100.0000
-12.9582085849,84.7100
-10.8647865421,86.0337
1.9358425727,92.7384
3.199619901,92.4550
-12.6022212175,83.3393
-15.3630517843,82.2848
5.6475778735,89.9864
7.4239108249,90.4292
-18.6828626813,78.3259
-17.0801203214,76.7729
12.2426854308,87.2705
11.7287999976,89.4134
-22.0743717063,69.0439
-21.6845224283,68.7650
14.6472938952,84.6716
16.1477303425,84.9728
-26.7045124438,58.8582
-27.4909175624,52.2916
19.7414218343,78.5529
22.1056976255,74.9310
-30.7624137307,51.9808
-29.9730171252,46.9366
31.1899572335,57.4590
32.2279260796,59.2148
-34.2957427509,32.3240
-34.2955237785,32.8256
-39.0622238482,24.9327
-40.4855896753,18.6468
-46.1763744059,6.9966
-44.5178831187,10.9965
-52.9418791361,0.9263
-51.9182593732,1.6813
39.7979759182,49.1652
40.9409959263,44.5390
38.4938563313,45.9675
48.9178400568,33.3939
50.2627285576,36.2787
