"Strain","RelForce"
-34.7434073876,39.7535687672
-32.4516262945,42.3801618012
-37.5711208141,39.1603629407
16.0690376746,64.1238215369
17.1329861119,67.4356926064
16.3682213016,73.7034510807
-36.6280172506,32.5861050299
-35.2197216732,47.0205610607
-39.1942042279,46.1925230686
-15.3988728389,79.4962512365
-13.6847068001,84.5290155405
-16.943688297,82.5667712763
27.8495877716,40.3803989788
30.2892080081,34.023883
25.3023340876,45.6941050956
-21.1999888371,78.1806645523
-7.6151675696,90.7025817286
-0.0322390477,100
5.2509646966,85.0654011374
5.7907821038,88.8078910746
4.1038999494,98.1166671973
26.6702447256,42.6081291814
37.5720024893,20.3314622817
39.5612950378,18.9048374363
37.5958153683,17.47616551
-31.0269891756,55.9442954632
-41.9819554124,8.7184799006
-35.4651524168,44.1033369182
-35.4586421304,36.8942752569
-37.414334768,38.478668883
-40.0275741511,32.3082248875
-21.3899582992,54.5694085495
-20.4204051763,55.7939086598
-23.9957782375,56.4407685251
-40.6792870542,15.1725834106
-41.9819556079,19.7444131722
-40.6792531668,22.9848024589
21.3080401709,43.1237661049
23.0118550852,44.3667386445
20.0230138603,49.5740958953
37.7132768953,28.9435260314
35.8953913079,39.0273516537
43.5546170799,18.4110184975
45.3431993334,26.4225667884
21.9032883128,59.8954167125
23.6169677458,60.8827531316
-3.1176386466,94.5742983664
-39.3264228239,15.0549925699
-38.6750325025,24.3672002743
-40.033504442,19.5011157553
4.443808096,100
0,96.9255848396
3.2401545466,98.4061349144
39.4780842815,28.2805441109
35.5682956229,24.8458070961
31.0414360837,30.8649215492
39.5953333012,26.3864936459
-38.0719140974,30.00219
-28.1302049891,67.302382
-26.3576951274,74.9929382
-15.3312817234,88.0028382
10.970210116,86.028382
16.3568823313,73.549282
25.1860115181,54.21029382
-29.5993838599,64.029382
-39.9917239133,5.4001822
-30.8673808049,54.09282
-31.5615931704,37.30019382
-35.4707894515,42.09298832
-38.07744556,30.0023892
-19.4349173418,78.42019292
-18.465364219,84.02982
-22.0407372801,73.99237
-38.6874261588,12.029832
-40.0204564986,19.7444131722
-38.7235540123,24.02982
10.7388636027,80.0298328
12.108163341,82.09283
36.8413322726,49.5740958953
27.7419740662,54.09282
43.3887774723,39.0273516537
45.3402341879,18.4110184975
36.9833985821,26.4225667884
23.8583292701,58.003943
25.5720087032,66.039933
-1.1625976893,88.02832
-37.4130652948,12.99281
-36.7616984339,23.029832
-38.0298794135,21.029382
-0.2744803526,100
1.9550409573,94.09373
5.195195504,96.02982
45.3434925895,28.2805441109
44.1056649242,24.8458070961
34.9032819245,33.992823
39.6550923864,22.01828
0,100
4.0336777551,97.7441420463
-11.6617857829,94.5865625249
-30.3978712294,67.3431536228
-43.5935619102,42.236171005
-36.2637874968,61.9682415601
-10.1390148144,93.8727987193
-4.5821638245,98.8741217016
-1.970304996,97.1368486583
3.2855905236,94.5983211509
8.2421396384,91.9818412075
16.5078258972,81.5267595038
22.4037405919,74.394403195
27.9715880611,63.9735352878
35.9996053692,44.3397298965
45.1430040803,23.117890448
-47.6165022528,34.0029382
-49.150445635,17.9029382
-54.3770208497,9.99292
31.1820752133,53.0282
50.0417036485,12.00282
-21.128304002,81.992929
-25.2306185773,77.739282
