"Strain","RelForce"
-16.0372151863,90.9510820135
-16.0371862864,87.5551514775
-20.5038602908,81.7648411513
-20.5038439161,82.4789449224
-36.4247707092,46.6681827605
-36.4244494203,48.7316849815
-27.09359108,72.0096767188
-45.7692865264,24.7992110104
-7.8878577847,97.3442838944
-7.8879224217,97.0686236045
7.746837866,96.5892894578
7.7465925929,96.9881076261
-3.32487020953124E-005,100
4.98888119498197E-005,99.7525815077
23.0596008737,68.5034835464
23.060137734,48.2796117803
13.9127342979,89.8038587153
13.9128640889,89.7553902907
-42.5261016375,37.03988
-50.5750432284,9.92838
-31.8293610568,61.02938
17.1030975062,81.0983
35.3827651824,30.01928
48.3644154436,12.98273
-1.4201526923,100
-16.0373848512,78.3696257695
-29.3904180242,43.9893856148
-29.3897089135,46.2836925941
-39.1385258515,2.2095953369
-8.6058439854,83.709286499
-8.6060601315,79.087077935
20.6103745927,53.8631083242
20.6093714842,52.2650253513
16.9874107621,53.2062238098
16.9863708824,59.815362356
41.9523679671,26.053221752
14.3339104946,80.02838
2.2243236452,91.02838
27.5022475206,36.12938
-34.8877876798,23.9273
-22.1400161833,62.92833
-16.0372151863,85.0267711546
-14.8456529422,78.9969046596
-15.7466687072,78.3134601118
-8.3483199912,92.7606937803
-7.6253253154,92.3924019251
-9.3076487647,88.9990505422
0.5449580341,100
2.5060058311,99.5852986729
0.4412425777,99.4385469709
8.0738764855,95.9643123224
9.6994834307,93.9170895738
7.2645245698,96.1098101434
18.0010372953,87.3077078133
19.9106311615,87.3075678814
21.4920835755,76.6699077112
24.093627121,72.4568990283
35.660978589,48.9880544813
29.8880450599,60.0293
37.9318433992,34.92838
40.5569751401,24.9283
43.1468637705,12.8372
-27.2259037376,73.71938
-27.2277248181,63.1203
-35.0063400192,44.2938
-40.114449178,32.1093
-47.9644463113,15.20392
-28.3568246461,71.099709639
-26.4946761328,75.8850035668
-28.9421471033,68.0728096679
-38.3852648166,32.4334759036
-40.1220059918,27.176300259
-37.2132535626,42.4775856797
-35.6312107897,50.603786771
-34.865489407,54.429421581
-34.0927583885,57.5398276783
-25.3862268694,80.8531190478
-24.490703179,81.842568893
-24.0726626504,82.0831004309
-22.5674864558,83.6937168592
-20.6695271996,85.6757334824
-18.7582895376,86.9344969396
-17.1295249181,87.9484504208
-13.8552676298,89.940403606
-7.0817182458,94.1008551464
-2.9065519441,96.3906273649
1.1306004536,98.3244922917
5.3005189223,99.4770751022
9.6739402143,100
14.2731270852,96.8479844232
17.8320015449,90.0588142487
47.7676733852,18.200193
-42.9540555507,18.198273
-45.5669418261,4.29393
-26.9415550281,75.92838
30.1261383252,60.1394
32.6340263031,42.5
-8.7796611618,95.0827211331
-32.2822421799,45.9178112412
-18.3617674472,85.4138438106
-1.0496258246,100
11.9399961394,77.2365560911
14.946943064,80.1043376127
17.1840311941,79.9795425323
22.1634619355,64.4967797244
26.4904458987,43.0945517421
45.7602781592,13.2711828039
34.7599556576,30.28373
42.8996651028,18.23838
-42.5231098624,22.018233
24.6851192646,56.10923
1.7430341755,100
-1.9095714825,96.5455093325
-6.5954329751,94.7942987666
-15.3188361237,80.5532264377
-29.3765841761,46.8599938586
-16.101395697,85.4925418144
4.4290505178,96.5780754735
11.7223536346,95.3115886477
18.2618073712,80.6435389031
22.7295309652,73.1461128481
26.9155480626,63.5602118308
11.5214712229,84.7316384819
19.9173144045,82.1260843281
26.0611234418,66.6788681261
28.4190210011,62.931034949
-30.2786329802,54.42
-24.7415857443,72.2943
-35.159570934,35.0193
-40.1025817168,16.01293
43.1611202291,35.0238
50.729010403,9.02193
-13.944273404,90.0661420816
-19.249069845,76.5251398713
-23.7787169829,67.0955091856
-18.4069149804,82.1727310074
-13.379985772,91.3873179253
-8.5222676042,96.8665350827
-0.1116404812,100
6.5082134367,98.2755552664
11.6698613848,92.3277306074
11.6698909167,95.2597680526
16.3944523763,86.5982747038
17.7063971088,85.5932692718
17.7066350303,85.9942179442
23.1955137501,66.8134137859
27.710765378,52.1472303187
-29.6818649063,54.00022
-34.8707996005,35.5
-36.2545606123,24.02383
-40.2091669559,15.02838
32.6740640582,41.928332
42.8984423773,19.092392
-5.7233958001,100
-10.9014000631,89.5576250842
-16.2849616859,74.7955327679
-20.4568530475,63.3314584005
-26.3745656716,45.1156053999
-33.7981506737,22.5881021456
2.4935892866,91.6254082684
6.5211537514,91.5099035395
11.8857699607,88.2417776318
18.457602398,76.5981478997
24.5182266277,55.9938141828
30.4045866992,27.7007074267
